ID_ESTAC,NOM_ESTACIO,NOM_ORIGINAL,DATA_UTC,PERIODE_UTC,ES_AHIR,ESTAT,DATA_EXTRACCIO,HORA_CONSULTA_UTC,URL_FONT,CAPÇALERES_TROBADES,CAPÇALERES_LLISTAT,VAR_DVM_10_m_graus,VAR_DVM_2_m_graus,VAR_DVM_6_m_graus,VAR_GN_cm,VAR_HRM_perc,VAR_PM_hPa,VAR_PPT_mm,VAR_Període_TU,VAR_RS_W_m_2,VAR_TM_grausC,VAR_TN_grausC,VAR_TX_grausC,VAR_VVM_10_m_km_h,VAR_VVM_2_m_km_h,VAR_VVM_6_m_km_h,VAR_VVX_10_m_km_h,VAR_VVX_2_m_km_h,VAR_VVX_6_m_km_h,PERIODE,TM,TX,TN,HR,PPT,VVM,DVM,VVX,PM,Col_00,Col_01,Col_02,Col_03,Col_04,Col_05,Col_06,Col_07,Col_08,Col_09,RS,Col_10,Col_11
U7,Aldover,ALDOVER_U7,2026-02-07,16:30 - 17:00,NO,OK,2026-02-07 17:15:34,16:30,https://www.meteo.cat/observacions/xema/dades?codi=U7&dia=2026-02-07T16:30Z,10,"Període TU, TM °C, TX °C, TN °C, HRM %, PPT mm, VVM (2 m) km/h, DVM (2 m) graus, VVX (2 m) km/h, RS W/m 2",,119,,,55,,0.0,16:30 - 17:00,18,13.1,12.3,14.0,,0.0,,,2.9,,16:30 - 17:00,13.1,14.0,12.3,55,0.0,0.0,119,2.9,18,16:30 - 17:00,13.1,14.0,12.3,55,0.0,0.0,119,2.9,18,,,
U7,Aldover,ALDOVER_U7,2026-02-06,23:30 - 00:00,SÍ,OK,2026-02-07 17:15:36,00:00,https://www.meteo.cat/observacions/xema/dades?codi=U7&dia=2026-02-06T00:00Z,10,"Període TU, TM °C, TX °C, TN °C, HRM %, PPT mm, VVM (2 m) km/h, DVM (2 m) graus, VVX (2 m) km/h, RS W/m 2",,335,,,52,,0.0,23:30 - 00:00,0,13.0,12.2,13.3,,6.8,,,20.2,,23:30 - 00:00,13.0,13.3,12.2,52,0.0,6.8,335,20.2,0,23:30 - 00:00,13.0,13.3,12.2,52,0.0,6.8,335,20.2,0,,,
U7,Aldover,ALDOVER_U7,2026-02-06,23:00 - 23:30,SÍ,OK,2026-02-07 17:15:36,00:00,https://www.meteo.cat/observacions/xema/dades?codi=U7&dia=2026-02-06T00:00Z,10,"Període TU, TM °C, TX °C, TN °C, HRM %, PPT mm, VVM (2 m) km/h, DVM (2 m) graus, VVX (2 m) km/h, RS W/m 2",,315,,,58,,0.0,23:00 - 23:30,0,12.2,12.0,12.5,,4.7,,,16.9,,23:00 - 23:30,12.2,12.5,12.0,58,0.0,4.7,315,16.9,0,23:00 - 23:30,12.2,12.5,12.0,58,0.0,4.7,315,16.9,0,,,
U7,Aldover,ALDOVER_U7,2026-02-06,22:30 - 23:00,SÍ,OK,2026-02-07 17:15:36,00:00,https://www.meteo.cat/observacions/xema/dades?codi=U7&dia=2026-02-06T00:00Z,10,"Període TU, TM °C, TX °C, TN °C, HRM %, PPT mm, VVM (2 m) km/h, DVM (2 m) graus, VVX (2 m) km/h, RS W/m 2",,317,,,53,,0.0,22:30 - 23:00,0,13.3,12.6,13.7,,6.5,,,20.5,,22:30 - 23:00,13.3,13.7,12.6,53,0.0,6.5,317,20.5,0,22:30 - 23:00,13.3,13.7,12.6,53,0.0,6.5,317,20.5,0,,,
U7,Aldover,ALDOVER_U7,2026-02-06,22:00 - 22:30,SÍ,OK,2026-02-07 17:15:36,00:00,https://www.meteo.cat/observacions/xema/dades?codi=U7&dia=2026-02-06T00:00Z,10,"Període TU, TM °C, TX °C, TN °C, HRM %, PPT mm, VVM (2 m) km/h, DVM (2 m) graus, VVX (2 m) km/h, RS W/m 2",,311,,,52,,0.0,22:00 - 22:30,0,13.5,13.1,13.9,,6.1,,,22.0,,22:00 - 22:30,13.5,13.9,13.1,52,0.0,6.1,311,22.0,0,22:00 - 22:30,13.5,13.9,13.1,52,0.0,6.1,311,22.0,0,,,
WK,Alfarràs,ALFARRAS_WK,2026-02-07,16:30 - 17:00,NO,OK,2026-02-07 17:15:38,16:30,https://www.meteo.cat/observacions/xema/dades?codi=WK&dia=2026-02-07T16:30Z,9,"Període TU, TM °C, TX °C, TN °C, HRM %, PPT mm, VVM (2 m) km/h, DVM (2 m) graus, VVX (2 m) km/h",,232,,,69,,0.0,16:30 - 17:00,,10.2,9.4,10.7,,0.0,,,0.7,,16:30 - 17:00,10.2,10.7,9.4,69,0.0,0.0,232,0.7,,16:30 - 17:00,10.2,10.7,9.4,69,0.0,0.0,232,0.7,,,,
WK,Alfarràs,ALFARRAS_WK,2026-02-06,23:30 - 00:00,SÍ,OK,2026-02-07 17:15:39,00:00,https://www.meteo.cat/observacions/xema/dades?codi=WK&dia=2026-02-06T00:00Z,9,"Període TU, TM °C, TX °C, TN °C, HRM %, PPT mm, VVM (2 m) km/h, DVM (2 m) graus, VVX (2 m) km/h",,336,,,91,,0.0,23:30 - 00:00,,7.0,6.8,7.2,,5.8,,,10.1,,23:30 - 00:00,7.0,7.2,6.8,91,0.0,5.8,336,10.1,,23:30 - 00:00,7.0,7.2,6.8,91,0.0,5.8,336,10.1,,,,
WK,Alfarràs,ALFARRAS_WK,2026-02-06,23:00 - 23:30,SÍ,OK,2026-02-07 17:15:39,00:00,https://www.meteo.cat/observacions/xema/dades?codi=WK&dia=2026-02-06T00:00Z,9,"Període TU, TM °C, TX °C, TN °C, HRM %, PPT mm, VVM (2 m) km/h, DVM (2 m) graus, VVX (2 m) km/h",,325,,,92,,0.0,23:00 - 23:30,,7.1,7.0,7.1,,5.4,,,11.2,,23:00 - 23:30,7.1,7.1,7.0,92,0.0,5.4,325,11.2,,23:00 - 23:30,7.1,7.1,7.0,92,0.0,5.4,325,11.2,,,,
WK,Alfarràs,ALFARRAS_WK,2026-02-06,22:30 - 23:00,SÍ,OK,2026-02-07 17:15:39,00:00,https://www.meteo.cat/observacions/xema/dades?codi=WK&dia=2026-02-06T00:00Z,9,"Període TU, TM °C, TX °C, TN °C, HRM %, PPT mm, VVM (2 m) km/h, DVM (2 m) graus, VVX (2 m) km/h",,338,,,96,,0.0,22:30 - 23:00,,7.0,6.9,7.1,,5.8,,,13.3,,22:30 - 23:00,7.0,7.1,6.9,96,0.0,5.8,338,13.3,,22:30 - 23:00,7.0,7.1,6.9,96,0.0,5.8,338,13.3,,,,
WK,Alfarràs,ALFARRAS_WK,2026-02-06,22:00 - 22:30,SÍ,OK,2026-02-07 17:15:39,00:00,https://www.meteo.cat/observacions/xema/dades?codi=WK&dia=2026-02-06T00:00Z,9,"Període TU, TM °C, TX °C, TN °C, HRM %, PPT mm, VVM (2 m) km/h, DVM (2 m) graus, VVX (2 m) km/h",,340,,,100,,0.0,22:00 - 22:30,,7.1,7.0,7.3,,4.0,,,7.9,,22:00 - 22:30,7.1,7.3,7.0,100,0.0,4.0,340,7.9,,22:00 - 22:30,7.1,7.3,7.0,100,0.0,4.0,340,7.9,,,,
WG,Algerri,ALGERRI_WG,2026-02-07,16:30 - 17:00,NO,OK,2026-02-07 17:15:42,16:30,https://www.meteo.cat/observacions/xema/dades?codi=WG&dia=2026-02-07T16:30Z,10,"Període TU, TM °C, TX °C, TN °C, HRM %, PPT mm, VVM (2 m) km/h, DVM (2 m) graus, VVX (2 m) km/h, RS W/m 2",,274,,,57,,0.0,16:30 - 17:00,24,10.6,10.4,10.8,,1.4,,,4.3,,16:30 - 17:00,10.6,10.8,10.4,57,0.0,1.4,274,4.3,24,16:30 - 17:00,10.6,10.8,10.4,57,0.0,1.4,274,4.3,24,,,
WG,Algerri,ALGERRI_WG,2026-02-06,23:30 - 00:00,SÍ,OK,2026-02-07 17:15:43,00:00,https://www.meteo.cat/observacions/xema/dades?codi=WG&dia=2026-02-06T00:00Z,10,"Període TU, TM °C, TX °C, TN °C, HRM %, PPT mm, VVM (2 m) km/h, DVM (2 m) graus, VVX (2 m) km/h, RS W/m 2",,349,,,79,,0.0,23:30 - 00:00,0,7.4,7.1,7.5,,12.6,,,18.0,,23:30 - 00:00,7.4,7.5,7.1,79,0.0,12.6,349,18.0,0,23:30 - 00:00,7.4,7.5,7.1,79,0.0,12.6,349,18.0,0,,,
WG,Algerri,ALGERRI_WG,2026-02-06,23:00 - 23:30,SÍ,OK,2026-02-07 17:15:43,00:00,https://www.meteo.cat/observacions/xema/dades?codi=WG&dia=2026-02-06T00:00Z,10,"Període TU, TM °C, TX °C, TN °C, HRM %, PPT mm, VVM (2 m) km/h, DVM (2 m) graus, VVX (2 m) km/h, RS W/m 2",,341,,,81,,0.0,23:00 - 23:30,0,7.4,7.4,7.5,,13.3,,,21.2,,23:00 - 23:30,7.4,7.5,7.4,81,0.0,13.3,341,21.2,0,23:00 - 23:30,7.4,7.5,7.4,81,0.0,13.3,341,21.2,0,,,
WG,Algerri,ALGERRI_WG,2026-02-06,22:30 - 23:00,SÍ,OK,2026-02-07 17:15:43,00:00,https://www.meteo.cat/observacions/xema/dades?codi=WG&dia=2026-02-06T00:00Z,10,"Període TU, TM °C, TX °C, TN °C, HRM %, PPT mm, VVM (2 m) km/h, DVM (2 m) graus, VVX (2 m) km/h, RS W/m 2",,352,,,83,,0.0,22:30 - 23:00,0,7.6,7.4,7.7,,13.0,,,19.4,,22:30 - 23:00,7.6,7.7,7.4,83,0.0,13.0,352,19.4,0,22:30 - 23:00,7.6,7.7,7.4,83,0.0,13.0,352,19.4,0,,,
WG,Algerri,ALGERRI_WG,2026-02-06,22:00 - 22:30,SÍ,OK,2026-02-07 17:15:43,00:00,https://www.meteo.cat/observacions/xema/dades?codi=WG&dia=2026-02-06T00:00Z,10,"Període TU, TM °C, TX °C, TN °C, HRM %, PPT mm, VVM (2 m) km/h, DVM (2 m) graus, VVX (2 m) km/h, RS W/m 2",,358,,,90,,0.0,22:00 - 22:30,0,7.7,7.5,7.8,,13.3,,,19.1,,22:00 - 22:30,7.7,7.8,7.5,90,0.0,13.3,358,19.1,0,22:00 - 22:30,7.7,7.8,7.5,90,0.0,13.3,358,19.1,0,,,
X3,Alguaire,ALGUAIRE_X3,2026-02-07,16:30 - 17:00,NO,OK,2026-02-07 17:15:45,16:30,https://www.meteo.cat/observacions/xema/dades?codi=X3&dia=2026-02-07T16:30Z,11,"Període TU, TM °C, TX °C, TN °C, HRM %, PPT mm, VVM (10 m) km/h, DVM (10 m) graus, VVX (10 m) km/h, PM hPa, RS W/m 2",82,,,,62,1007.2,0.0,16:30 - 17:00,22,9.6,9.3,9.9,1.8,,,3.6,,,16:30 - 17:00,9.6,9.9,9.3,62,0.0,1.8,82,3.6,1007.2,16:30 - 17:00,9.6,9.9,9.3,62,0.0,1.8,82,3.6,1007.2,22,22,
X3,Alguaire,ALGUAIRE_X3,2026-02-06,23:30 - 00:00,SÍ,OK,2026-02-07 17:15:47,00:00,https://www.meteo.cat/observacions/xema/dades?codi=X3&dia=2026-02-06T00:00Z,11,"Període TU, TM °C, TX °C, TN °C, HRM %, PPT mm, VVM (10 m) km/h, DVM (10 m) graus, VVX (10 m) km/h, PM hPa, RS W/m 2",316,,,,100,1004.7,0.0,23:30 - 00:00,0,5.8,5.3,6.2,7.6,,,12.6,,,23:30 - 00:00,5.8,6.2,5.3,100,0.0,7.6,316,12.6,1004.7,23:30 - 00:00,5.8,6.2,5.3,100,0.0,7.6,316,12.6,1004.7,0,0,
X3,Alguaire,ALGUAIRE_X3,2026-02-06,23:00 - 23:30,SÍ,OK,2026-02-07 17:15:47,00:00,https://www.meteo.cat/observacions/xema/dades?codi=X3&dia=2026-02-06T00:00Z,11,"Període TU, TM °C, TX °C, TN °C, HRM %, PPT mm, VVM (10 m) km/h, DVM (10 m) graus, VVX (10 m) km/h, PM hPa, RS W/m 2",340,,,,100,1004.7,0.0,23:00 - 23:30,0,6.4,6.3,6.5,9.4,,,14.4,,,23:00 - 23:30,6.4,6.5,6.3,100,0.0,9.4,340,14.4,1004.7,23:00 - 23:30,6.4,6.5,6.3,100,0.0,9.4,340,14.4,1004.7,0,0,
X3,Alguaire,ALGUAIRE_X3,2026-02-06,22:30 - 23:00,SÍ,OK,2026-02-07 17:15:47,00:00,https://www.meteo.cat/observacions/xema/dades?codi=X3&dia=2026-02-06T00:00Z,11,"Període TU, TM °C, TX °C, TN °C, HRM %, PPT mm, VVM (10 m) km/h, DVM (10 m) graus, VVX (10 m) km/h, PM hPa, RS W/m 2",6,,,,100,1004.5,0.0,22:30 - 23:00,0,6.6,6.5,6.7,10.8,,,14.8,,,22:30 - 23:00,6.6,6.7,6.5,100,0.0,10.8,6,14.8,1004.5,22:30 - 23:00,6.6,6.7,6.5,100,0.0,10.8,6,14.8,1004.5,0,0,
X3,Alguaire,ALGUAIRE_X3,2026-02-06,22:00 - 22:30,SÍ,OK,2026-02-07 17:15:47,00:00,https://www.meteo.cat/observacions/xema/dades?codi=X3&dia=2026-02-06T00:00Z,11,"Període TU, TM °C, TX °C, TN °C, HRM %, PPT mm, VVM (10 m) km/h, DVM (10 m) graus, VVX (10 m) km/h, PM hPa, RS W/m 2",6,,,,100,1004.3,0.0,22:00 - 22:30,0,6.6,6.5,6.6,12.6,,,16.9,,,22:00 - 22:30,6.6,6.6,6.5,100,0.0,12.6,6,16.9,1004.3,22:00 - 22:30,6.6,6.6,6.5,100,0.0,12.6,6,16.9,1004.3,0,0,
ZB,Alins - Salòria (2.451 m),ALINS___SALORIA_2451_M_ZB,2026-02-07,16:30 - 17:00,NO,OK,2026-02-07 17:15:49,16:30,https://www.meteo.cat/observacions/xema/dades?codi=ZB&dia=2026-02-07T16:30Z,10,"Període TU, TM °C, TX °C, TN °C, HRM %, PPT mm, VVM (10 m) km/h, DVM (10 m) graus, VVX (10 m) km/h, RS W/m 2",171,,,,95,,0.0,16:30 - 17:00,11,-5.5,-5.7,-5.4,8.3,,,16.9,,,16:30 - 17:00,-5.5,-5.4,-5.7,95,0.0,8.3,171,16.9,11,16:30 - 17:00,-5.5,-5.4,-5.7,95,0.0,8.3,171,16.9,11,,,
ZB,Alins - Salòria (2.451 m),ALINS___SALORIA_2451_M_ZB,2026-02-06,23:30 - 00:00,SÍ,OK,2026-02-07 17:15:51,00:00,https://www.meteo.cat/observacions/xema/dades?codi=ZB&dia=2026-02-06T00:00Z,10,"Període TU, TM °C, TX °C, TN °C, HRM %, PPT mm, VVM (10 m) km/h, DVM (10 m) graus, VVX (10 m) km/h, RS W/m 2",0,,,,95,,0.0,23:30 - 00:00,0,-5.2,-5.3,-5.2,0.0,,,0.0,,,23:30 - 00:00,-5.2,-5.2,-5.3,95,0.0,0.0,0,0.0,0,23:30 - 00:00,-5.2,-5.2,-5.3,95,0.0,0.0,0,0.0,0,,,
ZB,Alins - Salòria (2.451 m),ALINS___SALORIA_2451_M_ZB,2026-02-06,23:00 - 23:30,SÍ,OK,2026-02-07 17:15:51,00:00,https://www.meteo.cat/observacions/xema/dades?codi=ZB&dia=2026-02-06T00:00Z,10,"Període TU, TM °C, TX °C, TN °C, HRM %, PPT mm, VVM (10 m) km/h, DVM (10 m) graus, VVX (10 m) km/h, RS W/m 2",183,,,,95,,0.4,23:00 - 23:30,0,-5.2,-5.2,-5.2,2.2,,,5.0,,,23:00 - 23:30,-5.2,-5.2,-5.2,95,0.4,2.2,183,5.0,0,23:00 - 23:30,-5.2,-5.2,-5.2,95,0.4,2.2,183,5.0,0,,,
ZB,Alins - Salòria (2.451 m),ALINS___SALORIA_2451_M_ZB,2026-02-06,22:30 - 23:00,SÍ,OK,2026-02-07 17:15:51,00:00,https://www.meteo.cat/observacions/xema/dades?codi=ZB&dia=2026-02-06T00:00Z,10,"Període TU, TM °C, TX °C, TN °C, HRM %, PPT mm, VVM (10 m) km/h, DVM (10 m) graus, VVX (10 m) km/h, RS W/m 2",184,,,,95,,0.0,22:30 - 23:00,0,-5.4,-5.6,-5.2,1.4,,,6.5,,,22:30 - 23:00,-5.4,-5.2,-5.6,95,0.0,1.4,184,6.5,0,22:30 - 23:00,-5.4,-5.2,-5.6,95,0.0,1.4,184,6.5,0,,,
ZB,Alins - Salòria (2.451 m),ALINS___SALORIA_2451_M_ZB,2026-02-06,22:00 - 22:30,SÍ,OK,2026-02-07 17:15:51,00:00,https://www.meteo.cat/observacions/xema/dades?codi=ZB&dia=2026-02-06T00:00Z,10,"Període TU, TM °C, TX °C, TN °C, HRM %, PPT mm, VVM (10 m) km/h, DVM (10 m) graus, VVX (10 m) km/h, RS W/m 2",178,,,,95,,0.0,22:00 - 22:30,0,-5.3,-5.6,-5.0,0.4,,,8.6,,,22:00 - 22:30,-5.3,-5.0,-5.6,95,0.0,0.4,178,8.6,0,22:00 - 22:30,-5.3,-5.0,-5.6,95,0.0,0.4,178,8.6,0,,,
YT,Alt Àneu - Bonabé (1.693 m),ALT_ANEU___BONABE_1693_M_YT,2026-02-07,16:30 - 17:00,NO,OK,2026-02-07 17:15:53,16:30,https://www.meteo.cat/observacions/xema/dades?codi=YT&dia=2026-02-07T16:30Z,8,"Període TU, TM °C, TX °C, TN °C, HRM %, PPT mm, GN cm, RS W/m 2",,,,104,71,,0.0,16:30 - 17:00,29,0.1,-0.3,0.6,,,,,,,16:30 - 17:00,0.1,0.6,-0.3,71,0.0,104,29,,,16:30 - 17:00,0.1,0.6,-0.3,71,0.0,104,29,,,,,
YT,Alt Àneu - Bonabé (1.693 m),ALT_ANEU___BONABE_1693_M_YT,2026-02-06,23:30 - 00:00,SÍ,OK,2026-02-07 17:15:54,00:00,https://www.meteo.cat/observacions/xema/dades?codi=YT&dia=2026-02-06T00:00Z,8,"Període TU, TM °C, TX °C, TN °C, HRM %, PPT mm, GN cm, RS W/m 2",,,,105,97,,0.0,23:30 - 00:00,0,-0.8,-0.8,-0.7,,,,,,,23:30 - 00:00,-0.8,-0.7,-0.8,97,0.0,105,0,,,23:30 - 00:00,-0.8,-0.7,-0.8,97,0.0,105,0,,,,,
YT,Alt Àneu - Bonabé (1.693 m),ALT_ANEU___BONABE_1693_M_YT,2026-02-06,23:00 - 23:30,SÍ,OK,2026-02-07 17:15:54,00:00,https://www.meteo.cat/observacions/xema/dades?codi=YT&dia=2026-02-06T00:00Z,8,"Període TU, TM °C, TX °C, TN °C, HRM %, PPT mm, GN cm, RS W/m 2",,,,105,97,,0.0,23:00 - 23:30,0,-0.8,-0.9,-0.7,,,,,,,23:00 - 23:30,-0.8,-0.7,-0.9,97,0.0,105,0,,,23:00 - 23:30,-0.8,-0.7,-0.9,97,0.0,105,0,,,,,
YT,Alt Àneu - Bonabé (1.693 m),ALT_ANEU___BONABE_1693_M_YT,2026-02-06,22:30 - 23:00,SÍ,OK,2026-02-07 17:15:54,00:00,https://www.meteo.cat/observacions/xema/dades?codi=YT&dia=2026-02-06T00:00Z,8,"Període TU, TM °C, TX °C, TN °C, HRM %, PPT mm, GN cm, RS W/m 2",,,,105,95,,0.0,22:30 - 23:00,0,-0.8,-0.9,-0.7,,,,,,,22:30 - 23:00,-0.8,-0.7,-0.9,95,0.0,105,0,,,22:30 - 23:00,-0.8,-0.7,-0.9,95,0.0,105,0,,,,,
YT,Alt Àneu - Bonabé (1.693 m),ALT_ANEU___BONABE_1693_M_YT,2026-02-06,22:00 - 22:30,SÍ,OK,2026-02-07 17:15:54,00:00,https://www.meteo.cat/observacions/xema/dades?codi=YT&dia=2026-02-06T00:00Z,8,"Període TU, TM °C, TX °C, TN °C, HRM %, PPT mm, GN cm, RS W/m 2",,,,106,95,,0.0,22:00 - 22:30,0,-0.8,-0.9,-0.7,,,,,,,22:00 - 22:30,-0.8,-0.7,-0.9,95,0.0,106,0,,,22:00 - 22:30,-0.8,-0.7,-0.9,95,0.0,106,0,,,,,
Z1,Alt Àneu - Bonaigua (2.266 m),ALT_ANEU___BONAIGUA_2266_M_Z1,2026-02-07,16:30 - 17:00,NO,OK,2026-02-07 17:15:57,16:30,https://www.meteo.cat/observacions/xema/dades?codi=Z1&dia=2026-02-07T16:30Z,11,"Període TU, TM °C, TX °C, TN °C, HRM %, PPT mm, GN cm, VVM (6 m) km/h, DVM (6 m) graus, VVX (6 m) km/h, RS W/m 2",,,101,170,80,,0.0,16:30 - 17:00,42,-4.6,-4.9,-3.7,,,19.1,,,29.2,16:30 - 17:00,-4.6,-3.7,-4.9,80,0.0,170,19.1,101,29.2,16:30 - 17:00,-4.6,-3.7,-4.9,80,0.0,170,19.1,101,29.2,42,42,
